Simulation	mem	times	h	pneut	s
slim	79988	5.233519444444444	0.0	0.9	-0.001
slim	80436	5.4004972222222225	0.0	0.9	-0.001
slim	85188	5.391713888888888	0.0	0.9	-0.001
fwdpy11	65784	0.6457333333333333	0.5	0.9	-0.001
fwdpy11	61772	0.6375333333333333	0.5	0.9	-0.001
fwdpy11	64992	0.6336055555555555	0.5	0.9	-0.001
fwdpy11	63512	0.6178777777777779	0.5	0.9	-0.001
fwdpy11	65928	0.6419750000000001	0.5	0.9	-0.001
fwdpy11	64048	0.6390555555555555	0.5	0.9	-0.001
fwdpy11	64536	0.6429361111111112	0.5	0.9	-0.001
fwdpy11	61348	0.6374916666666666	0.5	0.9	-0.001
fwdpy11	65956	0.6242500000000001	0.5	0.9	-0.001
fwdpy11	65768	0.6320305555555555	0.5	0.9	-0.001
fwdpy11	64332	0.6439333333333332	0.5	0.9	-0.001
fwdpy11	62432	0.6351611111111111	0.5	0.9	-0.001
fwdpy11	62756	0.6065861111111112	0.5	0.9	-0.001
fwdpy11	65668	0.6333555555555556	0.5	0.9	-0.001
fwdpy11	66408	0.6391972222222223	0.5	0.9	-0.001
fwdpy11	61780	0.6379250000000001	0.5	0.9	-0.001
fwdpy11	61988	0.6356805555555555	0.5	0.9	-0.001
fwdpy11	64268	0.6387361111111111	0.5	0.9	-0.001
fwdpy11	64888	0.6384583333333332	0.5	0.9	-0.001
fwdpy11	63384	0.6434444444444445	0.5	0.9	-0.001
fwdpy11	63672	0.6427944444444444	0.5	0.9	-0.001
fwdpy11	64152	0.6111	0.5	0.9	-0.001
fwdpy11	63992	0.6421944444444445	0.5	0.9	-0.001
fwdpy11	62528	0.5991777777777778	0.5	0.9	-0.001
fwdpy11	65488	0.6385583333333333	0.5	0.9	-0.001
fwdpy11	62384	0.6444222222222222	0.5	0.9	-0.001
fwdpy11	61916	0.6416083333333333	0.5	0.9	-0.001
fwdpy11	65332	0.6441166666666667	0.5	0.9	-0.001
fwdpy11	63364	0.6414583333333334	0.5	0.9	-0.001
fwdpy11	62400	0.6351222222222223	0.5	0.9	-0.001
fwdpy11	63304	0.6415361111111112	0.5	0.9	-0.001
fwdpy11	63816	0.637975	0.5	0.9	-0.001
fwdpy11	66380	0.6432444444444444	0.5	0.9	-0.001
fwdpy11	67072	0.6424527777777778	0.5	0.9	-0.001
fwdpy11	62288	0.6297	0.5	0.9	-0.001
fwdpy11	66948	0.640925	0.5	0.9	-0.001
fwdpy11	64104	0.6405333333333334	0.5	0.9	-0.001
fwdpy11	62356	0.6357444444444444	0.5	0.9	-0.001
fwdpy11	63300	0.6448055555555556	0.5	0.9	-0.001
fwdpy11	64824	0.6473083333333333	0.5	0.9	-0.001
slim	74356	4.553122222222223	0.5	0.9	-0.001
slim	77684	4.630833333333333	0.5	0.9	-0.001
slim	70840	4.454644444444444	0.5	0.9	-0.001
slim	76244	4.675563888888888	0.5	0.9	-0.001
slim	70720	4.554038888888889	0.5	0.9	-0.001
slim	71048	4.489502777777777	0.5	0.9	-0.001
slim	74020	4.491405555555556	0.5	0.9	-0.001
slim	75208	4.500847222222222	0.5	0.9	-0.001
slim	78152	4.635955555555555	0.5	0.9	-0.001
slim	76820	4.648833333333333	0.5	0.9	-0.001
slim	71772	4.495255555555556	0.5	0.9	-0.001
slim	73956	4.645505555555555	0.5	0.9	-0.001
slim	73124	4.513586111111111	0.5	0.9	-0.001
slim	73012	4.605480555555555	0.5	0.9	-0.001
slim	72680	4.384177777777778	0.5	0.9	-0.001
slim	77252	4.548208333333333	0.5	0.9	-0.001
slim	74048	4.562824999999999	0.5	0.9	-0.001
slim	75496	4.7156	0.5	0.9	-0.001
slim	73476	4.555911111111111	0.5	0.9	-0.001
slim	75300	4.620175000000001	0.5	0.9	-0.001
slim	69552	4.341216666666666	0.5	0.9	-0.001
slim	75468	4.59125	0.5	0.9	-0.001
slim	71496	4.471061111111111	0.5	0.9	-0.001
slim	76436	4.63335	0.5	0.9	-0.001
slim	76688	4.5706	0.5	0.9	-0.001
slim	73616	4.465577777777778	0.5	0.9	-0.001
slim	75068	4.565341666666667	0.5	0.9	-0.001
slim	73264	4.435647222222222	0.5	0.9	-0.001
slim	76920	4.717663888888889	0.5	0.9	-0.001
slim	73440	4.292525	0.5	0.9	-0.001
slim	71952	4.510455555555556	0.5	0.9	-0.001
slim	75744	4.552708333333333	0.5	0.9	-0.001
slim	71412	4.501436111111111	0.5	0.9	-0.001
slim	72080	4.616602777777778	0.5	0.9	-0.001
slim	71808	4.648091666666667	0.5	0.9	-0.001
slim	68824	4.372244444444444	0.5	0.9	-0.001
slim	72408	4.590202777777778	0.5	0.9	-0.001
slim	70340	4.522372222222223	0.5	0.9	-0.001
slim	75012	4.542136111111112	0.5	0.9	-0.001
slim	74280	4.456083333333333	0.5	0.9	-0.001
fwdpy11	39496	0.3277611111111111	0.0	0.99	0.05
fwdpy11	38432	0.33034444444444444	0.0	0.99	0.05
fwdpy11	35048	0.3278027777777778	0.0	0.99	0.05
fwdpy11	35036	0.3192527777777778	0.0	0.99	0.05
fwdpy11	35328	0.3290388888888889	0.0	0.99	0.05
fwdpy11	35064	0.3247527777777777	0.0	0.99	0.05
fwdpy11	34952	0.3282361111111111	0.0	0.99	0.05
fwdpy11	35272	0.3289444444444445	0.0	0.99	0.05
fwdpy11	36084	0.3292583333333333	0.0	0.99	0.05
fwdpy11	36180	0.32802222222222227	0.0	0.99	0.05
fwdpy11	36944	0.33084722222222224	0.0	0.99	0.05
fwdpy11	34920	0.3276472222222222	0.0	0.99	0.05
fwdpy11	38028	0.3034638888888889	0.0	0.99	0.05
fwdpy11	35368	0.3284916666666666	0.0	0.99	0.05
fwdpy11	35960	0.32783055555555557	0.0	0.99	0.05
fwdpy11	35240	0.32809722222222226	0.0	0.99	0.05
fwdpy11	35616	0.3275527777777778	0.0	0.99	0.05
fwdpy11	35548	0.33070555555555553	0.0	0.99	0.05
fwdpy11	37724	0.3228138888888889	0.0	0.99	0.05
fwdpy11	37300	0.3241194444444444	0.0	0.99	0.05
fwdpy11	35648	0.3291527777777778	0.0	0.99	0.05
fwdpy11	35456	0.3270527777777778	0.0	0.99	0.05
